Етаж,Апартамент,Застроена,Идеални,Обща,Вид,Изложение,Статус
1,Б 101,57.46,8.22,65.68,2-стаен,Юг,Свободен
1,Б 102,97.74,14.00,111.74,3-стаен,Юг/Изток,Свободен
1,Б 103,93.78,13.46,107.24,3-стаен,Изток,Свободен
1,Б 104,59.36,8.52,67.88,2-стаен,Изток,Свободен
1,Б 105,59.36,8.52,67.88,2-стаен,Север,Свободен
1,Б 106,100.20,14.38,114.58,3-стаен,Север/Запад,Свободен
1,Б 107,61.11,8.77,69.88,2-стаен,Запад,Свободен
1,Б 108,61.11,8.77,69.88,2-стаен,Запад,Свободен
1,Б 109,61.11,8.77,69.88,2-стаен,Запад,Свободен
1,Б 110,94.94,13.62,108.56,3-стаен,Запад/Юг,Свободен
1,Б 111,51.88,7.43,59.31,2-стаен,Юг,Свободен
1,Б 112,38.46,5.52,43.98,Ателие,Юг,Свободен
2,Б 201,54.38,7.80,62.18,2-стаен,Юг,Свободен
2,Б 202,88.75,12.73,101.48,3-стаен,Юг/Изток,Свободен
2,Б 203,93.78,13.46,107.24,3-стаен,Изток,Свободен
2,Б 204,59.36,8.52,67.88,2-стаен,Изток,Продадени
2,Б 205,59.36,8.52,67.88,2-стаен,Север,Свободен
2,Б 206,100.20,14.38,114.58,3-стаен,Север/Запад,Свободен
2,Б 207,61.11,8.77,69.88,2-стаен,Запад,Свободен
2,Б 208,61.11,8.77,69.88,2-стаен,Запад,Свободен
2,Б 209,61.11,8.77,69.88,2-стаен,Запад,Свободен
2,Б 210,94.94,13.62,108.56,3-стаен,Запад/Юг,Свободен
2,Б 211,55.54,7.97,63.51,2-стаен,Юг,Свободен
2,Б 212,38.46,5.52,43.98,Ателие,Юг,Свободен
3,Б 301,54.38,7.80,62.18,2-стаен,Юг,Продадени
3,Б 302,88.75,12.73,101.48,3-стаен,Юг/Изток,Продадени
3,Б 303,93.78,13.46,107.24,3-стаен,Изток,Продадени
3,Б 304,59.36,8.52,67.88,2-стаен,Изток,Продадени
3,Б 305,59.36,8.52,67.88,2-стаен,Север,Продадени
3,Б 306,100.20,14.38,114.58,3-стаен,Север/Запад,Продадени
3,Б 307,61.11,8.77,69.88,2-стаен,Запад,Продадени
3,Б 308,61.11,8.77,69.88,2-стаен,Запад,Продадени
3,Б 309,61.11,8.77,69.88,2-стаен,Запад,Продадени
3,Б 310,94.94,13.62,108.56,3-стаен,Запад/Юг,Продадени
3,Б 311,55.54,7.97,63.51,2-стаен,Юг,Продадени
3,Б 312,38.46,5.52,43.98,Ателие,Юг,Продадени
4,Б 401,54.38,7.80,62.18,2-стаен,Юг,Продадени
4,Б 402,88.75,12.73,101.48,3-стаен,Юг/Изток,Продадени
4,Б 403,93.78,13.46,107.24,3-стаен,Изток,Продадени
4,Б 404,59.36,8.52,67.88,2-стаен,Изток,Продадени
4,Б 405,59.36,8.52,67.88,2-стаен,Север,Продадени
4,Б 406,100.20,14.38,114.58,3-стаен,Север/Запад,Продадени
4,Б 407,61.11,8.77,69.88,2-стаен,Запад,Продадени
4,Б 408,61.11,8.77,69.88,2-стаен,Запад,Продадени
4,Б 409,61.11,8.77,69.88,2-стаен,Запад,Продадени
4,Б 410,94.94,13.62,108.56,3-стаен,Запад/Юг,Продадени
4,Б 411,55.54,7.97,63.51,2-стаен,Юг,Продадени
4,Б 412,38.46,5.52,43.98,Ателие,Юг,Продадени
5,Б 501,54.38,7.80,62.18,2-стаен,Юг,Продадени
5,Б 502,88.75,12.73,101.48,3-стаен,Юг/Изток,Продадени
5,Б 503,93.78,13.46,107.24,3-стаен,Изток,Продадени
5,Б 504,59.36,8.52,67.88,2-стаен,Изток,Продадени
5,Б 505,59.36,8.52,67.88,2-стаен,Север,Продадени
5,Б 506,100.20,14.38,114.58,3-стаен,Север/Запад,Продадени
5,Б 507,61.11,8.77,69.88,2-стаен,Запад,Продадени
5,Б 508,61.11,8.77,69.88,2-стаен,Запад,Продадени
5,Б 509,61.11,8.77,69.88,2-стаен,Запад,Продадени
5,Б 510,94.94,13.62,108.56,3-стаен,Запад/Юг,Продадени
5,Б 511,55.54,7.97,63.51,2-стаен,Юг,Продадени
5,Б 512,38.46,5.52,43.98,Ателие,Юг,Продадени
6,Б 601,54.38,7.80,62.18,2-стаен,Юг,Продадени
6,Б 602,88.75,12.73,101.48,3-стаен,Юг/Изток,Продадени
6,Б 603,93.78,13.46,107.24,3-стаен,Изток,Продадени
6,Б 604,59.36,8.52,67.88,2-стаен,Изток,Продадени
6,Б 605,59.36,8.52,67.88,2-стаен,Север,Продадени
6,Б 606,100.20,14.38,114.58,3-стаен,Север/Запад,Продадени
6,Б 607,61.11,8.77,69.88,2-стаен,Запад,Продадени
6,Б 608,61.11,8.77,69.88,2-стаен,Запад,Продадени
6,Б 609,61.11,8.77,69.88,2-стаен,Запад,Продадени
6,Б 610,94.94,13.62,108.56,3-стаен,Запад/Юг,Продадени
6,Б 611,55.54,7.97,63.51,2-стаен,Юг,Продадени
6,Б 612,38.46,5.52,43.98,Ателие,Юг,Продадени
7,Б 701,54.38,7.80,62.18,2-стаен,Юг,Свободен
7,Б 702,88.75,12.73,101.48,3-стаен,Юг/Изток,Свободен
7,Б 703,93.78,13.46,107.24,3-стаен,Изток,Свободен
7,Б 704,59.36,8.52,67.88,2-стаен,Изток,Свободен
7,Б 705,59.36,8.52,67.88,2-стаен,Север,Свободен
7,Б 706,100.20,14.38,114.58,3-стаен,Север/Запад,Свободен
7,Б 707,61.11,8.77,69.88,2-стаен,Запад,Продадени
7,Б 708,61.11,8.77,69.88,2-стаен,Запад,Продадени
7,Б 709,61.11,8.77,69.88,2-стаен,Запад,Свободен
7,Б 710,94.94,13.62,108.56,3-стаен,Запад/Юг,Свободен
7,Б 711,55.54,7.97,63.51,2-стаен,Юг,Свободен
7,Б 712,38.46,5.52,43.98,Ателие,Юг,Свободен
8,Б 801,54.38,7.80,62.18,2-стаен,Юг,Свободен
8,Б 802,88.75,12.73,101.48,3-стаен,Юг/Изток,Свободен
8,Б 803,93.78,13.46,107.24,3-стаен,Изток,Свободен
8,Б 804,59.36,8.52,67.88,2-стаен,Изток,Свободен
8,Б 805,59.36,8.52,67.88,2-стаен,Север,Свободен
8,Б 806,100.20,14.38,114.58,3-стаен,Север/Запад,Свободен
8,Б 807,61.11,8.77,69.88,2-стаен,Запад,Свободен
8,Б 808,61.11,8.77,69.88,2-стаен,Запад,Свободен
8,Б 809,61.11,8.77,69.88,2-стаен,Запад,Свободен
8,Б 810,94.94,13.62,108.56,3-стаен,Запад/Юг,Свободен
8,Б 811,55.54,7.97,63.51,2-стаен,Юг,Свободен
8,Б 812,38.46,5.52,43.98,Ателие,Юг,Свободен
