Номер,Застроена,Идеални,Обща,Тип,Статус
ПМ-01,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-02,17.67,10.85,28.52,Паркомясто,Продадени
ПМ-03,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-04,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-05,17.67,10.85,28.52,Паркомясто,Продадени
ПМ-06,17.67,10.85,28.52,Паркомясто,Продадени
ПМ-07,17.67,10.85,28.52,Паркомясто,Продадени
ПМ-08,17.67,10.85,28.52,Паркомясто,Продадени
ПМ-09,17.67,10.85,28.52,Паркомясто,Продадени
ПМ-10,17.67,10.85,28.52,Паркомясто,Продадени
ПМ-11,17.67,10.85,28.52,Паркомясто,Продадени
ПМ-12,17.67,10.85,28.52,Паркомясто,Продадени
ПМ-13,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-14,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-15,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-16,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-17,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-18,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-19,17.67,10.85,28.52,Паркомясто,Продадени
ПМ-20,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-21,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-22,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-23,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-24,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-25,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-26,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-27,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-28,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-29,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-30,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-31,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-32,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-33,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-34,17.67,10.85,28.52,Паркомясто,Свободен
ПМ-35,14.44,8.87,23.31,Паркомясто,Продадени
ПМ-36,13.78,8.46,22.24,Паркомясто,Продадени
ПМ-37,13.78,8.46,22.24,Паркомясто,Продадени
ПМ-38,13.78,8.46,22.24,Паркомясто,Продадени
ПМ-39,13.78,8.46,22.24,Паркомясто,Продадени
ПМ-40,13.78,8.46,22.24,Паркомясто,Свободен
ПМ-41,13.78,8.46,22.24,Паркомясто,Свободен
ПМ-42,14.44,8.87,23.31,Паркомясто,Свободен
ПМ-43,14.44,8.87,23.31,Паркомясто,Свободен
ПМ-44,13.78,8.46,22.24,Паркомясто,Свободен
ПМ-45,13.78,8.46,22.24,Паркомясто,Свободен
ПМ-46,13.78,8.46,22.24,Паркомясто,Свободен
ПМ-47,13.78,8.46,22.24,Паркомясто,Свободен
ПМ-48,13.78,8.46,22.24,Паркомясто,Свободен
ПМ-49,14.44,8.87,23.31,Паркомясто,Свободен
ПМ-50,14.96,9.19,24.15,Паркомясто,Свободен
ПМ-51,14.96,9.19,24.15,Паркомясто,Свободен
ПМ-52,14.96,9.19,24.15,Паркомясто,Свободен
ПМ-53,14.96,9.19,24.15,Паркомясто,Свободен
ПМ-54,14.96,9.19,24.15,Паркомясто,Свободен
ПМ-55,14.96,9.19,24.15,Паркомясто,Свободен
ПМ-56,14.96,9.19,24.15,Паркомясто,Свободен
ПМ-57,14.96,9.19,24.15,Паркомясто,Свободен
ПМ-58,14.96,9.19,24.15,Паркомясто,Свободен
ПМ-59,14.96,9.19,24.15,Паркомясто,Свободен
ПМ-60,14.96,9.19,24.15,Паркомясто,Свободен
ПМ-61,14.96,9.19,24.15,Паркомясто,Свободен
ПМ-62,14.96,9.19,24.15,Паркомясто,Свободен
ПМ-63,14.96,9.19,24.15,Паркомясто,Продадени
ПМ-64,14.96,9.19,24.15,Паркомясто,Продадени
ПМ-65,14.96,9.19,24.15,Паркомясто,Продадени
ПМ-66,24.23,14.88,39.11,Паркомясто,Продадени
ПМ-67,18.53,11.38,29.91,Паркомясто,Свободен
ПМ-68,18.53,11.38,29.91,Паркомясто,Свободен
