Етаж,Апартамент,Вид,Застроена,Идеални,Обща,Изложение,Статус
0,Гараж А-1,Паркомясто,15,,15,-,Свободен
0,Гараж А-2,Паркомясто,15,,15,-,Свободен
0,Гараж А-3,Паркомясто,15,,15,-,Продаден
2,А-101,2-стаен,58.32,,63.87,Север,Продаден
2,А-102,2-стаен,63.14,,69.15,Юг/Запад,Свободен
2,А-103,3-стаен,79.63,,87.20,Изток,Продаден
2,А-104,2-стаен,57.42,,62.88,Юг/Изток/Запад,Продаден
2,А-105,3-стаен,93.12,,101.98,Север/Изток,Продаден
2,А-106,3-стаен,92.00,,100.75,Запад,Свободен
2,А-107,3-стаен,92.00,,100.75,Юг,Продаден
2,А-108,2-стаен,58.32,,63.87,Изток/Юг,Продаден
3,А-201,2-стаен,58.32,,63.87,Запад/Юг,Продаден
3,А-202,2-стаен,63.14,,69.15,Север,Продаден
3,А-203,3-стаен,79.63,,87.20,Изток,Продаден
3,А-204,2-стаен,57.42,,62.88,Север,Продаден
3,А-205,3-стаен,93.12,,101.98,Изток/Юг,Продаден
3,А-206,3-стаен,92.00,,100.75,Юг,Продаден
3,А-207,3-стаен,92.00,,100.75,Запад,Продаден
3,А-208,2-стаен,58.32,,63.87,Запад/Изток,Продаден
4,А-301,2-стаен,58.32,,63.87,Север,Продаден
4,А-302,2-стаен,63.14,,69.15,Юг/Изток,Продаден
4,А-303,3-стаен,79.63,,87.20,Запад/Юг,Продаден
4,А-304,2-стаен,57.42,,62.88,Изток,Продаден
4,А-305,3-стаен,93.12,,101.98,Север/Запад,Продаден
4,А-306,3-стаен,92.00,,100.75,Юг,Продаден
4,А-307,3-стаен,92.00,,100.75,Изток/Юг,Продаден
4,А-308,2-стаен,58.32,,63.87,Запад,Продаден
5,А-401,2-стаен,58.32,,63.87,Юг/Изток,Продаден
5,А-402,2-стаен,63.14,,69.15,Север,Продаден
5,А-403,3-стаен,79.63,,87.20,Юг/Изток/Запад,Продаден
5,А-404,2-стаен,57.42,,62.88,Запад,Продаден
5,А-405,3-стаен,93.12,,101.98,Север/Изток,Продаден
5,А-406,3-стаен,92.00,,100.75,Юг,Продаден
5,А-407,3-стаен,92.00,,100.75,Изток/Юг,Продаден
5,А-408,2-стаен,58.32,,63.87,Север/Запад,Продаден
6,А-501,2-стаен,58.32,,63.87,Север,Продаден
6,А-502,2-стаен,63.14,,69.15,Юг/Запад,Продаден
6,А-503,3-стаен,79.63,,87.20,Изток,Продаден
6,А-504,2-стаен,57.42,,62.88,Юг/Изток/Запад,Продаден
6,А-505,3-стаен,93.12,,101.98,Север/Запад,Продаден
6,А-506,3-стаен,92.00,,100.75,Юг,Продаден
6,А-507,3-стаен,92.00,,100.75,Изток/Юг,Продаден
6,А-508,2-стаен,58.32,,63.87,Запад,Продаден
7,А-601,2-стаен,58.32,,63.87,Север/Изток,Резервиран
7,А-602,2-стаен,63.14,,69.15,Север,Продаден
7,А-603,3-стаен,79.63,,87.20,Юг,Продаден
7,А-604,2-стаен,57.42,,62.88,Изток,Продаден
7,А-605,3-стаен,93.12,,101.98,Изток/Юг,Продаден
7,А-606,3-стаен,92.00,,100.75,Запад,Продаден
7,А-607,3-стаен,92.00,,100.75,Север/Запад,Продаден
7,А-608,2-стаен,58.32,,63.87,Юг/Изток,Продаден
8,А-701,2-стаен,58.32,,63.87,Запад,Продаден
8,А-702,2-стаен,63.14,,69.15,Юг/Изток,Продаден
8,А-703,3-стаен,79.63,,87.20,Север,Резервиран
8,А-704,2-стаен,57.42,,62.88,Запад/Юг,Продаден
8,А-705,3-стаен,93.12,,101.98,Изток/Юг,Продаден
8,А-706,3-стаен,92.00,,100.75,Юг,Продаден
8,А-707,3-стаен,92.00,,100.75,Изток,Продаден
8,А-708,2-стаен,58.32,,63.87,Север/Запад,Продаден
9,А-801,2-стаен,58.32,,63.87,Юг/Изток,Продаден
9,А-802,2-стаен,63.14,,69.15,Запад,Свободен
9,А-803,3-стаен,79.63,,87.20,Север/Изток,Продаден
9,А-804,2-стаен,57.42,,62.88,Север,Продаден
9,А-805,3-стаен,93.12,,101.98,Изток/Юг,Продаден
9,А-806,3-стаен,92.00,,100.75,Юг,Резервиран
9,А-807,3-стаен,92.00,,100.75,Изток,Резервиран
9,А-808,2-стаен,58.32,,63.87,Запад/Юг,Свободен
10,А-901,2-стаен,55.00,,60.23,Юг/Изток,Продаден
10,А-902,2-стаен,60.03,,65.74,Запад,Продаден
10,А-903,3-стаен,76.52,,83.80,Север,Продаден
10,А-904,2-стаен,54.34,,59.51,Юг/Изток/Запад,Продаден
10,А-905,3-стаен,88.42,,96.83,Изток/Юг,Продаден
10,А-906,3-стаен,68.89,,75.44,Запад/Юг,Продаден
10,А-907,3-стаен,68.89,,75.44,Изток,Продаден
10,А-908,2-стаен,55.00,,60.23,Север/Запад,Продаден
