Етаж,Апартамент,Вид,Застроена,Идеални,Обща,Изложение,Статус
0,Гараж Б-1,Паркомясто,,,15,-,Свободен
0,Гараж Б-2,Паркомясто,,,15,-,Свободен
0,Гараж Б-3,Паркомясто,,,15,-,Свободен
0,Гараж Б-4,Паркомясто,,,15,-,Продаден
2,Б-101,2-стаен,58.32,,63.84,Север,Продаден
2,Б-102,2-стаен,63.14,,69.12,Юг/Запад,Свободен
2,Б-103,3-стаен,79.63,,87.17,Изток,Продаден
2,Б-104,2-стаен,57.42,,62.86,Юг/Изток/Запад,Продаден
2,Б-105,3-стаен,93.12,,101.94,Север/Изток,Продаден
2,Б-106,3-стаен,92.00,,100.71,Запад,Свободен
2,Б-107,3-стаен,92.00,,100.71,Юг,Свободен
2,Б-108,2-стаен,58.32,,63.84,Изток/Юг,Продаден
3,Б-201,2-стаен,58.32,,63.84,Запад/Юг,Резервиран
3,Б-202,2-стаен,63.14,,69.12,Север,Продаден
3,Б-203,3-стаен,79.63,,87.17,Юг,Продаден
3,Б-204,2-стаен,57.42,,62.86,Изток/Юг,Продаден
3,Б-205,3-стаен,93.12,,101.94,Север/Запад,Продаден
3,Б-206,3-стаен,92.00,,100.71,Изток,Продаден
3,Б-207,3-стаен,92.00,,100.71,Запад,Свободен
3,Б-208,2-стаен,58.32,,63.84,Север/Изток,Продаден
4,Б-301,2-стаен,58.32,,63.84,Север,Продаден
4,Б-302,2-стаен,63.14,,69.12,Юг/Изток,Продаден
4,Б-303,3-стаен,79.63,,87.17,Запад/Юг,Продаден
4,Б-304,2-стаен,57.42,,62.86,Изток,Продаден
4,Б-305,3-стаен,93.12,,101.94,Север/Запад,Продаден
4,Б-306,3-стаен,92.00,,100.71,Юг,Продаден
4,Б-307,3-стаен,92.00,,100.71,Изток/Юг,Свободен
4,Б-308,2-стаен,58.32,,63.84,Запад,Продаден
5,Б-401,2-стаен,58.32,,63.84,Юг/Изток,Резервиран
5,Б-402,2-стаен,63.14,,69.12,Север,Продаден
5,Б-403,3-стаен,79.63,,87.17,Юг/Изток/Запад,Продаден
5,Б-404,2-стаен,57.42,,62.86,Запад,Продаден
5,Б-405,3-стаен,93.12,,101.94,Север/Изток,Продаден
5,Б-406,3-стаен,92.00,,100.71,Юг,Продаден
5,Б-407,3-стаен,92.00,,100.71,Изток/Юг,Свободен
5,Б-408,2-стаен,58.32,,63.84,Север/Запад,Продаден
6,Б-501,2-стаен,58.32,,63.84,Север,Продаден
6,Б-502,2-стаен,63.14,,69.12,Юг/Запад,Продаден
6,Б-503,3-стаен,79.63,,87.17,Изток,Продаден
6,Б-504,2-стаен,57.42,,62.86,Юг/Изток/Запад,Продаден
6,Б-505,3-стаен,93.12,,101.94,Север/Запад,Продаден
6,Б-506,3-стаен,92.00,,100.71,Юг,Продаден
6,Б-507,3-стаен,92.00,,100.71,Изток/Юг,Продаден
6,Б-508,2-стаен,58.32,,63.84,Запад,Продаден
7,Б-601,2-стаен,58.32,,63.84,Север/Изток,Продаден
7,Б-602,2-стаен,63.14,,69.12,Север,Продаден
7,Б-603,3-стаен,79.63,,87.17,Юг,Продаден
7,Б-604,2-стаен,57.42,,62.86,Изток,Продаден
7,Б-605,3-стаен,93.12,,101.94,Изток/Юг,Продаден
7,Б-606,3-стаен,92.00,,100.71,Запад,Продаден
7,Б-607,3-стаен,92.00,,100.71,Север/Запад,Свободен
7,Б-608,2-стаен,58.32,,63.84,Юг/Изток,Продаден
8,Б-701,2-стаен,58.32,,63.84,Запад,Продаден
8,Б-702,2-стаен,63.14,,69.12,Юг/Изток,Свободен
8,Б-703,3-стаен,79.63,,87.17,Север,Продаден
8,Б-704,2-стаен,57.42,,62.86,Изток/Юг,Продаден
8,Б-705,3-стаен,93.12,,101.94,Запад/Юг,Продаден
8,Б-706,3-стаен,92.00,,100.71,Север/Изток,Продаден
8,Б-707,3-стаен,92.00,,100.71,Изток,Свободен
8,Б-708,2-стаен,58.32,,63.84,Юг,Продаден
9,Б-801,2-стаен,58.32,,63.84,Юг/Изток,Свободен
9,Б-802,2-стаен,63.14,,69.12,Запад,Продаден
9,Б-803,3-стаен,79.63,,87.17,Север,Свободен
9,Б-804,2-стаен,57.42,,62.86,Юг/Изток/Запад,Продаден
9,Б-805,3-стаен,93.12,,101.94,Изток/Юг,Продаден
9,Б-806,3-стаен,92.00,,100.71,Запад/Юг,Продаден
9,Б-807,3-стаен,92.00,,100.71,Север/Запад,Свободен
9,Б-808,2-стаен,58.32,,63.84,Изток,Продаден
10,Б-901,2-стаен,55.00,,60.21,Юг/Изток,Продаден
10,Б-902,2-стаен,60.03,,65.71,Запад,Продаден
10,Б-903,3-стаен,76.52,,83.76,Север,Продаден
10,Б-904,2-стаен,54.34,,59.48,Юг/Изток/Запад,Продаден
10,Б-905,3-стаен,88.42,,96.79,Изток/Юг,Продаден
10,Б-906,3-стаен,68.89,,75.41,Запад/Юг,Продаден
10,Б-907,3-стаен,68.89,,75.41,Изток,Продаден
10,Б-908,2-стаен,55.00,,60.21,Север/Запад,Продаден
